Gene	Ensembl	regulator	Gene.synonym	Gene.description
PTBP1	ENSG00000011304	0	HNRNP-I, HNRPI, pPTB, PTB, PTB-1, PTB2, PTB3, PTB4	Polypyrimidine tract binding protein 1
DPF1	ENSG00000011332	0	BAF45b, NEUD4, neuro-d4	Double PHD fingers 1
SYT7	ENSG00000011347	0	IPCA-7, MGC150517, PCANAP7, SYT-VII	Synaptotagmin 7
LARS2	ENSG00000011376	0	KIAA0028, LEURS, MGC26121, mtLeuRS	Leucyl-tRNA synthetase 2, mitochondrial
PIK3C2A	ENSG00000011405	0	PI3K-C2alpha	Phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 alpha
PLAUR	ENSG00000011422	0	CD87, UPAR, URKR	Plasminogen activator, urokinase receptor
ANLN	ENSG00000011426	0	ANILLIN, scra, Scraps	Anillin actin binding protein
WIZ	ENSG00000011451	1	ZNF803	WIZ zinc finger
RABGAP1	ENSG00000011454	0	GAPCenA, TBC1D11	RAB GTPase activating protein 1
DCN	ENSG00000011465	0	DSPG2, SLRR1B	Decorin
QPCTL	ENSG00000011478	0	FLJ20084	Glutaminyl-peptide cyclotransferase like
PPP5C	ENSG00000011485	0	PP5, PPP5	Protein phosphatase 5 catalytic subunit
CEP68	ENSG00000011523	0	KIAA0582	Centrosomal protein 68
MAP4K3	ENSG00000011566	0	GLK, MAPKKKK3, RAB8IPL1	Mitogen-activated protein kinase kinase kinase kinase 3
ZBTB32	ENSG00000011590	1	FAXF, FAZF, Rog, TZFP, ZNF538	Zinc finger and BTB domain containing 32
TYROBP	ENSG00000011600	0	DAP12, KARAP, PLO-SL, PLOSL	Transmembrane immune signaling adaptor TYROBP
TMEM159	ENSG00000011638	0	promethin	Transmembrane protein 159
GABRA3	ENSG00000011677	0		Gamma-aminobutyric acid type A receptor subunit alpha3
BRCA1	ENSG00000012048	0	BRCC1, FANCS, PPP1R53, RNF53	BRCA1 DNA repair associated
ERCC1	ENSG00000012061	0	RAD10	ERCC excision repair 1, endonuclease non-catalytic subunit
CD22	ENSG00000012124	0	SIGLEC-2, SIGLEC2	CD22 molecule
SEMA3B	ENSG00000012171	0	LUCA-1, SemA, sema5, SEMAA, semaV	Semaphorin 3B
MBTPS2	ENSG00000012174	0	KFSD, S2P	Membrane bound transcription factor peptidase, site 2
PRICKLE3	ENSG00000012211	0	LMO6	Prickle planar cell polarity protein 3
LTF	ENSG00000012223	0	HLF2	Lactotransferrin
EXTL3	ENSG00000012232	0	botv, REGR	Exostosin like glycosyltransferase 3
NR1H4	ENSG00000012504	1	FXR, HRR-1, HRR1, RIP14	Nuclear receptor subfamily 1 group H member 4
ELOVL5	ENSG00000012660	0	dJ483K16.1, HELO1, SCA38	ELOVL fatty acid elongase 5
ALOX5	ENSG00000012779	0	5-LOX	Arachidonate 5-lipoxygenase
KDM5D	ENSG00000012817	1	HY, HYA, JARID1D, KIAA0234, SMCY	Lysine demethylase 5D
CALCOCO1	ENSG00000012822	0	calphoglin, Cocoa, KIAA1536	Calcium binding and coiled-coil domain 1
UBR7	ENSG00000012963	0	C14orf130	Ubiquitin protein ligase E3 component n-recognin 7
MAP4K5	ENSG00000012983	0	GCKR, KHS, KHS1	Mitogen-activated protein kinase kinase kinase kinase 5
EHD3	ENSG00000013016	0	PAST3	EH domain containing 3
PSMC4	ENSG00000013275	0	MGC13687, MGC23214, MGC8570, MIP224, S6, TBP-7, TBP7	Proteasome 26S subunit, ATPase 4
MAN2B2	ENSG00000013288	0	KIAA0935	Mannosidase alpha class 2B member 2
SLC7A14	ENSG00000013293	0	KIAA1613, PPP1R142	Solute carrier family 7 member 14
CLDN11	ENSG00000013297	0	OSP, OTM	Claudin 11
SLC25A39	ENSG00000013306	0	CGI-69, FLJ22407	Solute carrier family 25 member 39
MVP	ENSG00000013364	0	LRP, VAULT1	Major vault protein
NUB1	ENSG00000013374	0	BS4, NUB1L, NYREN18	Negative regulator of ubiquitin like proteins 1
PGM3	ENSG00000013375	0	AGM1, DKFZP434B187, PAGM	Phosphoglucomutase 3
RWDD2A	ENSG00000013392	0	dJ747H23.2, MGC13523, RWDD2	RWD domain containing 2A
CLK1	ENSG00000013441	0		CDC like kinase 1
POLR3B	ENSG00000013503	0	C128, FLJ10388, RPC2	RNA polymerase III subunit B
ANGEL1	ENSG00000013523	0	Ccr4e, KIAA0759	Angel homolog 1
RNF14	ENSG00000013561	0	ARA54, HFB30, TRIAD2	Ring finger protein 14
DNASE1L1	ENSG00000013563	0	DNAS1L1, DNASEX, DNL1L, XIB	Deoxyribonuclease 1 like 1
DDX11	ENSG00000013573	0	CHL1, CHLR1, KRG2, WABS	DEAD/H-box helicase 11
HEBP1	ENSG00000013583	0	HBP, HEBP	Heme binding protein 1
GPRC5A	ENSG00000013588	0	PEIG-1, RAI3, RAIG1, TIG1	G protein-coupled receptor class C group 5 member A
MAMLD1	ENSG00000013619	0	CG1, CXorf6, F18	Mastermind like domain containing 1
CD6	ENSG00000013725	0	Tp120	CD6 molecule
TACC3	ENSG00000013810	0	ERIC-1, ERIC1, maskin, Tacc4	Transforming acidic coiled-coil containing protein 3
UFL1	ENSG00000014123	0	KIAA0776, Maxer, NLBP, RCAD	UFM1 specific ligase 1
POLA2	ENSG00000014138	0	FLJ21662	DNA polymerase alpha 2, accessory subunit
ZC3H3	ENSG00000014164	0	KIAA0150, ZC3HDC3	Zinc finger CCCH-type containing 3
CAPN1	ENSG00000014216	0	CANP, CANPL1, muCANP, muCL	Calpain 1
ACP3	ENSG00000014257	0	ACP-3, ACPP, PAP, TM-PAP	Acid phosphatase 3
MDH1	ENSG00000014641	0		Malate dehydrogenase 1
SLC30A9	ENSG00000014824	0	C4orf1, GAC63, HUEL, ZNT9	Solute carrier family 30 member 9
MTMR11	ENSG00000014914	0	CRA	Myotubularin related protein 11
COX15	ENSG00000014919	0	CEMCOX2	Cytochrome c oxidase assembly homolog COX15
CCDC88C	ENSG00000015133	0	DAPLE, HkRP2, KIAA1509, SCA40	Coiled-coil domain containing 88C
YAF2	ENSG00000015153	0		YY1 associated factor 2
ZMYND11	ENSG00000015171	0	BS69	Zinc finger MYND-type containing 11
WAS	ENSG00000015285	0	IMD2, THC, WASP, WASPA	WASP actin nucleation promoting factor
DPEP1	ENSG00000015413	0		Dipeptidase 1
BID	ENSG00000015475	0		BH3 interacting domain death agonist
MATR3	ENSG00000015479	0	KIAA0723, MGC9105, MPD2, VCPDM	Matrin 3
NPC1L1	ENSG00000015520	0	SLC65A2	NPC1 like intracellular cholesterol transporter 1
XYLT2	ENSG00000015532	0	PXYLT2, XT-II	Xylosyltransferase 2
RGPD5	ENSG00000015568	0	BS-63, DKFZp686I1842, RGP5	RANBP2 like and GRIP domain containing 5
STMN4	ENSG00000015592	0	RB3	Stathmin 4
NUDCD3	ENSG00000015676	0	KIAA1068, NudCL	NudC domain containing 3
ISL1	ENSG00000016082	1	Isl-1, ISLET1	ISL LIM homeobox 1
CHDH	ENSG00000016391	0		Choline dehydrogenase
IL20RA	ENSG00000016402	0	IL-20R1, ZCYTOR7	Interleukin 20 receptor subunit alpha
CLCA1	ENSG00000016490	0	CaCC, CLCRG1	Chloride channel accessory 1
CLCA4	ENSG00000016602	0	CaCC2	Chloride channel accessory 4
GLT8D1	ENSG00000016864	0	AD-017, FLJ14611	Glycosyltransferase 8 domain containing 1
ATP2C1	ENSG00000017260	0	ATP2C1A, BCPM, KIAA1347, PMR1, SPCA1	ATPase secretory pathway Ca2+ transporting 1
IGF1	ENSG00000017427	0	IGF, IGF-I, IGF1A, IGFI	Insulin like growth factor 1
SLC38A5	ENSG00000017483	0	JM24, SN2	Solute carrier family 38 member 5
RALBP1	ENSG00000017797	0	RIP, RIP1, RLIP76	RalA binding protein 1
RUFY3	ENSG00000018189	0	KIAA0871, RIPx, Singar1, ZFYVE30	RUN and FYVE domain containing 3
CNTN1	ENSG00000018236	0	F3, GP135	Contactin 1
SLC11A1	ENSG00000018280	0	LSH, NRAMP, NRAMP1	Solute carrier family 11 member 1
WWTR1	ENSG00000018408	0	DKFZp586I1419, TAZ	WW domain containing transcription regulator 1
AGPS	ENSG00000018510	0	ADAP-S, ADAS, ADHAPS, ADPS, ALDHPSY	Alkylglycerone phosphate synthase
CXorf56	ENSG00000018610	0	FLJ22965	Chromosome X open reading frame 56
ATP1A2	ENSG00000018625	0	FHM2, MHP2	ATPase Na+/K+ transporting subunit alpha 2
TTC27	ENSG00000018699	0	FLJ20272	Tetratricopeptide repeat domain 27
ZNF582	ENSG00000018869	1	FLJ30927	Zinc finger protein 582
VSIG2	ENSG00000019102	0	CTH, CTXL	V-set and immunoglobulin domain containing 2
PHLDB1	ENSG00000019144	0	FLJ00141, KIAA0638, LL5a	Pleckstrin homology like domain family B member 1
MARCO	ENSG00000019169	0	SCARA2, SR-A6	Macrophage receptor with collagenous structure
CYP24A1	ENSG00000019186	0	CP24, CYP24, P450-CC24	Cytochrome P450 family 24 subfamily A member 1
PRDM11	ENSG00000019485	0	PFM8	PR/SET domain 11
SYT13	ENSG00000019505	0	KIAA1427	Synaptotagmin 13
SNAI2	ENSG00000019549	1	SLUG, SLUGH, SLUGH1, SNAIL2	Snail family transcriptional repressor 2
CD74	ENSG00000019582	0	DHLAG	CD74 molecule
HGF	ENSG00000019991	0	DFNB39, F-TCF, HGFB, HPTA, SF	Hepatocyte growth factor
ZRANB1	ENSG00000019995	0	TRABID	Zinc finger RANBP2-type containing 1
NCDN	ENSG00000020129	0	NCDN-1, NCDN-2	Neurochondrin
ADGRA2	ENSG00000020181	0	DKFZp434C211, DKFZp434J0911, FLJ14390, GPR124, KIAA1531, TEM5	Adhesion G protein-coupled receptor A2
ZFP64	ENSG00000020256	0	dJ548G19.1, dJ831D17.1, FLJ10734, FLJ12628, ZNF338	ZFP64 zinc finger protein
MNAT1	ENSG00000020426	0	MAT1, RNF66	MNAT1 component of CDK activating kinase
SAMD4A	ENSG00000020577	0	DKFZP434H0350, hSmaug1, KIAA1053, SAMD4, Smaug, SMG, SMGA	Sterile alpha motif domain containing 4A
RUNX3	ENSG00000020633	1	AML2, CBFA3, PEBP2A3	RUNX family transcription factor 3
MRE11	ENSG00000020922	0	ATLD, MRE11A	MRE11 homolog, double strand break repair nuclease
PLEKHB1	ENSG00000021300	0	KPL1, PHR1, PHRET1	Pleckstrin homology domain containing B1
SERPINB1	ENSG00000021355	0	anti-elastase, EI, ELANH2, PI2	Serpin family B member 1
CYP3A43	ENSG00000021461	0		Cytochrome P450 family 3 subfamily A member 43
SLC7A9	ENSG00000021488	0	CSNU3	Solute carrier family 7 member 9
SPAST	ENSG00000021574	0	ADPSP, FSP2, KIAA1083, SPG4	Spastin
NRXN3	ENSG00000021645	0	C14orf60, KIAA0743	Neurexin 3
OSBPL5	ENSG00000021762	0	KIAA1534, OBPH1, ORP5	Oxysterol binding protein like 5
AQR	ENSG00000021776	0	fSAP164, IBP160, KIAA0560	Aquarius intron-binding spliceosomal factor
CPS1	ENSG00000021826	0		Carbamoyl-phosphate synthase 1
C8B	ENSG00000021852	0		Complement C8 beta chain
FHL1	ENSG00000022267	0	bA535K18.1, FHL1B, FLH1A, KYO-T, MGC111107, SLIM1, XMPMA	Four and a half LIM domains 1
RTF2	ENSG00000022277	0	C20orf43, CDAO5, HSPC164, RTFDC1	Replication termination factor 2
GABRA1	ENSG00000022355	0	EJM5	Gamma-aminobutyric acid type A receptor subunit alpha1
NLRP2	ENSG00000022556	0	CLR19.9, FLJ20510, NALP2, NBS1, PAN1, PYPAF2	NLR family pyrin domain containing 2
SLC45A4	ENSG00000022567	0	KIAA1126	Solute carrier family 45 member 4
RNF10	ENSG00000022840	0	KIAA0262, RIE2	Ring finger protein 10
ZNF839	ENSG00000022976	0	C14orf131	Zinc finger protein 839
ZDHHC6	ENSG00000023041	0	FLJ21952, ZNF376	Zinc finger DHHC-type palmitoyltransferase 6
GRAMD1B	ENSG00000023171	0	KIAA1201, LINC01059	GRAM domain containing 1B
RNH1	ENSG00000023191	0	RAI, RNH	Ribonuclease/angiogenin inhibitor 1
NDUFS1	ENSG00000023228	0	CI-75k	NADH:ubiquinone oxidoreductase core subunit S1
RB1CC1	ENSG00000023287	0	ATG17, Cc1, DRAGOU14, FIP200, KIAA0203, PPP1R131	RB1 inducible coiled-coil 1
ERP44	ENSG00000023318	0	KIAA0573, PDIA10, TXNDC4	Endoplasmic reticulum protein 44
ALAS1	ENSG00000023330	0	ALAS, ALAS3	5'-aminolevulinate synthase 1
BIRC3	ENSG00000023445	0	API2, c-IAP2, cIAP2, hiap-1, MALT2, MIHC, RNF49	Baculoviral IAP repeat containing 3
AKAP11	ENSG00000023516	0	AKAP220, DKFZp781I12161, FLJ11304, KIAA0629, PPP1R44, PRKA11	A-kinase anchoring protein 11
GLRX2	ENSG00000023572	0	bA101E13.1, GRX2	Glutaredoxin 2
SNAPC1	ENSG00000023608	0	PTFgamma, SNAP43	Small nuclear RNA activating complex polypeptide 1
DERA	ENSG00000023697	0	CGI-26, DEOC	Deoxyribose-phosphate aldolase
STRAP	ENSG00000023734	0	MAWD, pt-wd, UNRIP	Serine/threonine kinase receptor associated protein
ABCC2	ENSG00000023839	0	CMOAT, cMRP, DJS, MRP2	ATP binding cassette subfamily C member 2
DEF6	ENSG00000023892	0	IBP, SLAT, SWAP70L	DEF6 guanine nucleotide exchange factor
PLEKHO1	ENSG00000023902	0	CKIP-1, OC120	Pleckstrin homology domain containing O1
GCLM	ENSG00000023909	0	GLCLR	Glutamate-cysteine ligase modifier subunit
UBR2	ENSG00000024048	0	bA49A4.1, C6orf133, dJ392M17.3, KIAA0349	Ubiquitin protein ligase E3 component n-recognin 2
EHD2	ENSG00000024422	0	PAST2	EH domain containing 2
DEPDC1	ENSG00000024526	0	DEP.8, DEPDC1A, FLJ20354, SDP35	DEP domain containing 1
CCDC28A	ENSG00000024862	0	C6orf80, CCRL1AP, DKFZp586D0623	Coiled-coil domain containing 28A
RRAGD	ENSG00000025039	0	bA11D8.2.1, DKFZP761H171	Ras related GTP binding D
HSF2	ENSG00000025156	1		Heat shock transcription factor 2
PHF20	ENSG00000025293	0	C20orf104, dJ1121G12.1, TDRD20A	PHD finger protein 20
HSD17B6	ENSG00000025423	0	HSE, RODH, SDR9C6	Hydroxysteroid 17-beta dehydrogenase 6
NR1H3	ENSG00000025434	1	LXR-a, LXRa, RLD-1	Nuclear receptor subfamily 1 group H member 3
TYMP	ENSG00000025708	0	ECGF1, MNGIE	Thymidine phosphorylase
NCAPH2	ENSG00000025770	0	384D8-2, CAP-H2, hCAP-H2	Non-SMC condensin II complex subunit H2
TOMM34	ENSG00000025772	0	HTOM34P, TOM34	Translocase of outer mitochondrial membrane 34
SEC63	ENSG00000025796	0	DNAJC23, ERdj2, PRO2507, SEC63L	SEC63 homolog, protein translocation regulator
KPNA6	ENSG00000025800	0	FLJ11249, IPOA7, KPNA7, MGC17918	Karyopherin subunit alpha 6
VIM	ENSG00000026025	0		Vimentin
FAS	ENSG00000026103	0	APO-1, APT1, CD95, FAS1, TNFRSF6	Fas cell surface death receptor
RNASET2	ENSG00000026297	0	bA514O12.3, FLJ10907, RNASE6PL	Ribonuclease T2
CD44	ENSG00000026508	0	CD44R, CSPG8, HCELL, IN, MC56, MDU2, MDU3, MIC4, Pgp1	CD44 molecule (Indian blood group)
KCNG1	ENSG00000026559	0	K13, KCNG, kH2, Kv6.1	Potassium voltage-gated channel modifier subfamily G member 1
AGPAT4	ENSG00000026652	0	dJ473J16.2, LPAAT-delta	1-acylglycerol-3-phosphate O-acyltransferase 4
SLAMF7	ENSG00000026751	0	19A, CD319, CRACC, CS1	SLAM family member 7
BTN3A1	ENSG00000026950	0	BT3.1, BTF5, BTN3.1, CD277	Butyrophilin subfamily 3 member A1
MIPEP	ENSG00000027001	0	MIP	Mitochondrial intermediate peptidase
PRKCH	ENSG00000027075	0	PKC-L, PKCL, PRKCL	Protein kinase C eta
INSRR	ENSG00000027644	0	IRR	Insulin receptor related receptor
IFNGR1	ENSG00000027697	0	CD119, IFNGR	Interferon gamma receptor 1
B4GALT7	ENSG00000027847	0	beta4Gal-T7, XGALT-1	Beta-1,4-galactosyltransferase 7
SH2D2A	ENSG00000027869	0	F2771, TSAd	SH2 domain containing 2A
VRK2	ENSG00000028116	0		VRK serine/threonine kinase 2
TNFRSF1B	ENSG00000028137	0	CD120b, p75, TNF-R-II, TNF-R75, TNFBR, TNFR2, TNFR80	TNF receptor superfamily member 1B
VEZT	ENSG00000028203	0	DKFZP761C241	Vezatin, adherens junctions transmembrane protein
POU2F2	ENSG00000028277	1	OCT2, OTF2	POU class 2 homeobox 2
BRD9	ENSG00000028310	0	FLJ13441	Bromodomain containing 9
SNX1	ENSG00000028528	0	HsT17379, MGC8664, SNX1A, Vps5	Sorting nexin 1
TBPL1	ENSG00000028839	1	STUD, TLF, TLP, TRF2	TATA-box binding protein like 1
ARNTL2	ENSG00000029153	1	bHLHe6, BMAL2, CLIF, MOP9, PASD9	Aryl hydrocarbon receptor nuclear translocator like 2
BCLAF1	ENSG00000029363	0	BTF, KIAA0164	BCL2 associated transcription factor 1
SLC39A9	ENSG00000029364	0	FLJ11274	Solute carrier family 39 member 9
ANK1	ENSG00000029534	0	ANK, SPH1	Ankyrin 1
IBSP	ENSG00000029559	0	BSP, BSP-II, SP-II	Integrin binding sialoprotein
TFB1M	ENSG00000029639	0	CGI-75, mtTFB	Transcription factor B1, mitochondrial
RABEP1	ENSG00000029725	0	neurocrescin, RAB5EP, rabaptin-5, RABPT5	Rabaptin, RAB GTPase binding effector protein 1
HMGB3	ENSG00000029993	0	HMG2A, HMG4, MGC90319	High mobility group box 3
NUP160	ENSG00000030066	0	FLJ22583, KIAA0197	Nucleoporin 160
BAK1	ENSG00000030110	0	BAK, BCL2L7, CDN1	BCL2 antagonist/killer 1
MUSK	ENSG00000030304	0		Muscle associated receptor tyrosine kinase
IKZF2	ENSG00000030419	1	Helios, ZNFN1A2	IKAROS family zinc finger 2
GRN	ENSG00000030582	0	CLN11, PCDGF, PGRN	Granulin precursor
FAM13B	ENSG00000031003	0	ARHGAP49, C5orf5, FAM13B1, KHCHP, N61	Family with sequence similarity 13 member B
ARHGAP31	ENSG00000031081	0	CDGAP	Rho GTPase activating protein 31
CENPQ	ENSG00000031691	0	C6orf139, CENP-Q, FLJ10545	Centromere protein Q
SARS1	ENSG00000031698	0	SARS, SERS	Seryl-tRNA synthetase 1
RANBP3	ENSG00000031823	0		RAN binding protein 3
ARID4A	ENSG00000032219	1	RBBP1, RBP-1, RBP1	AT-rich interaction domain 4A
EIPR1	ENSG00000032389	0	EIPR-1, TSSC1	EARP complex and GARP complex interacting protein 1
PNPLA6	ENSG00000032444	0	iPLA2delta, NTE, SPG39, sws	Patatin like phospholipase domain containing 6
IFT88	ENSG00000032742	0	D13S1056E, hTg737, MGC26259, Tg737, TTC10	Intraflagellar transport 88
ALG1	ENSG00000033011	0	CDG1K, HMAT1, HMT-1, Mat-1	ALG1 chitobiosyldiphosphodolichol beta-mannosyltransferase
ZCCHC8	ENSG00000033030	0	DKFZp434E2220	Zinc finger CCHC-type containing 8
ABCF2	ENSG00000033050	0	ABC28, EST133090, HUSSY-18, M-ABC1	ATP binding cassette subfamily F member 2
CHPF2	ENSG00000033100	0	ChSy-3, CSGlcA-T, KIAA1402	Chondroitin polymerizing factor 2
LRRC7	ENSG00000033122	0	densin-180, KIAA1365	Leucine rich repeat containing 7
FUT8	ENSG00000033170	0		Fucosyltransferase 8
UBA6	ENSG00000033178	0	FLJ10808, UBE1L2	Ubiquitin like modifier activating enzyme 6
GAB2	ENSG00000033327	0	KIAA0571	GRB2 associated binding protein 2
ATP6V0A1	ENSG00000033627	0	a1, ATP6N1, ATP6N1A, Stv1, Vph1, VPP1	ATPase H+ transporting V0 subunit a1
PIAS1	ENSG00000033800	0	DDXBP1, GBP, GU/RH-II, ZMIZ3	Protein inhibitor of activated STAT 1
SLC4A7	ENSG00000033867	0	NBC3, SBC2, SLC4A6	Solute carrier family 4 member 7
APBA2	ENSG00000034053	0	D15S1518E, HsT16821, LIN-10, MGC:14091, MINT2, X11L	Amyloid beta precursor protein binding family A member 2
MAP2K3	ENSG00000034152	0	MAPKK3, MEK3, MKK3, PRKMK3	Mitogen-activated protein kinase kinase 3
EFCAB1	ENSG00000034239	0	FLJ11767	EF-hand calcium binding domain 1
TMSB10	ENSG00000034510	0	TB10	Thymosin beta 10
ASTE1	ENSG00000034533	0	HT001	Asteroid homolog 1
RNF19A	ENSG00000034677	0	DKFZp566B1346, dorfin, RNF19	Ring finger protein 19A, RBR E3 ubiquitin protein ligase
PEX3	ENSG00000034693	0		Peroxisomal biogenesis factor 3
GABARAPL2	ENSG00000034713	0	ATG8, ATG8C, GATE-16, GATE16, GEF2	GABA type A receptor associated protein like 2
MYOC	ENSG00000034971	0	GLC1A, JOAG1, TIGR	Myocilin
SH3YL1	ENSG00000035115	0	DKFZP586F1318, Ray	SH3 and SYLF domain containing 1
FAM136A	ENSG00000035141	0	FLJ14668	Family with sequence similarity 136 member A
VCL	ENSG00000035403	0		Vinculin
DEPDC1B	ENSG00000035499	0	BRCC3, XTP1	DEP domain containing 1B
DAPK2	ENSG00000035664	0	DRP-1, MGC119312	Death associated protein kinase 2
NSMAF	ENSG00000035681	0	FAN, GRAMD5	Neutral sphingomyelinase activation associated factor
ADSS2	ENSG00000035687	0	ADSS	Adenylosuccinate synthase 2
STAP1	ENSG00000035720	0	BRDG1, STAP-1	Signal transducing adaptor family member 1
TIMP2	ENSG00000035862	0	CSC-21K	TIMP metallopeptidase inhibitor 2
RFC1	ENSG00000035928	0	A1, MHCBFB, PO-GA, RFC140	Replication factor C subunit 1
TBC1D23	ENSG00000036054	0	FLJ11046	TBC1 domain family member 23
CUL3	ENSG00000036257	0		Cullin 3
MYOM2	ENSG00000036448	0		Myomesin 2
OTC	ENSG00000036473	0	OTCase	Ornithine carbamoyltransferase
CYP46A1	ENSG00000036530	0	CYP46	Cytochrome P450 family 46 subfamily A member 1
ZZZ3	ENSG00000036549	0	ATAC1, DKFZP564I052	Zinc finger ZZ-type containing 3
SLC18A1	ENSG00000036565	0	CGAT, VAT1, VMAT1	Solute carrier family 18 member A1
USP2	ENSG00000036672	0	UBP41	Ubiquitin specific peptidase 2
CASR	ENSG00000036828	0	FHH, GPRC2A, HHC, HHC1, NSHPT	Calcium sensing receptor
TUBG2	ENSG00000037042	0		Tubulin gamma 2
RPL26L1	ENSG00000037241	0	RPL26P1	Ribosomal protein L26 like 1
FLT4	ENSG00000037280	0	PCL, VEGFR-3, VEGFR3	Fms related receptor tyrosine kinase 4
NSUN2	ENSG00000037474	0	FLJ20303, Misu, MRT5, TRM4	NOP2/Sun RNA methyltransferase 2
FBXO42	ENSG00000037637	0	Fbx42, KIAA1332	F-box protein 42
MFAP3	ENSG00000037749	0		Microfibril associated protein 3
MRI1	ENSG00000037757	0	MGC3207, MRDI, mtnA, Ypr118w	Methylthioribose-1-phosphate isomerase 1
METTL1	ENSG00000037897	0	C12orf1, TRM8, TRMT8	Methyltransferase like 1
HOXC8	ENSG00000037965	1	HOX3, HOX3A	Homeobox C8
AGA	ENSG00000038002	0	ASRG	Aspartylglucosaminidase
PI4K2B	ENSG00000038210	0	FLJ11105, PI4KIIB, PIK42B	Phosphatidylinositol 4-kinase type 2 beta
BOD1L1	ENSG00000038219	0	BOD1L, FAM44A, FLJ33215, KIAA1327	Biorientation of chromosomes in cell division 1 like 1
MAT2B	ENSG00000038274	0	MATIIbeta, SDR23E1	Methionine adenosyltransferase 2B
TLL1	ENSG00000038295	0		Tolloid like 1
EDC4	ENSG00000038358	0	Ge-1, HEDLS, RCD-8	Enhancer of mRNA decapping 4
TRIO	ENSG00000038382	0	ARHGEF23	Trio Rho guanine nucleotide exchange factor
VCAN	ENSG00000038427	0	CSPG2, PG-M	Versican
CLEC16A	ENSG00000038532	0	Gop-1, KIAA0350	C-type lectin domain containing 16A
MSR1	ENSG00000038945	0	CD204, SCARA1, SR-A, SR-AI, SR-AII, SR-AIII	Macrophage scavenger receptor 1
CDH1	ENSG00000039068	0	CD324, UVO, uvomorulin	Cadherin 1
MTREX	ENSG00000039123	0	Dob1, fSAP118, KIAA0052, Mtr4, SKIV2L2	Mtr4 exosome RNA helicase
DNAH5	ENSG00000039139	0	CILD3, Dnahc5, HL1, KTGNR, PCD	Dynein axonemal heavy chain 5
ZFYVE16	ENSG00000039319	0	KIAA0305, PPP1R69	Zinc finger FYVE-type containing 16
RIPOR1	ENSG00000039523	0	FAM65A, FLJ13725	RHO family interacting cell polarization regulator 1
C6	ENSG00000039537	0		Complement C6
RAI14	ENSG00000039560	0	DKFZp564G013, KIAA1334, NORPEG, RAI13	Retinoic acid induced 14
SOX30	ENSG00000039600	1		SRY-box transcription factor 30
PNKP	ENSG00000039650	0	PNK	Polynucleotide kinase 3'-phosphatase
BEST2	ENSG00000039987	0	FLJ20132, VMD2L1	Bestrophin 2
PHLPP2	ENSG00000040199	0	KIAA0931, PHLPPL, PPM3B	PH domain and leucine rich repeat protein phosphatase 2
SPDL1	ENSG00000040275	0	CCDC99, FLJ20364, hSpindly	Spindle apparatus coiled-coil protein 1
STAU2	ENSG00000040341	0	39K2	Staufen double-stranded RNA binding protein 2
SLC66A1	ENSG00000040487	0	FLJ20320, LAAT-1, LAAT1, PQLC2	Solute carrier family 66 member 1
CTNS	ENSG00000040531	0	CTNS-LSB, PQLC4, SLC66A4	Cystinosin, lysosomal cystine transporter
RTN4R	ENSG00000040608	0	NOGOR	Reticulon 4 receptor
PHF23	ENSG00000040633	0	FLJ16355, MGC2941	PHD finger protein 23
CDH10	ENSG00000040731	0		Cadherin 10
INPP4A	ENSG00000040933	0	INPP4	Inositol polyphosphate-4-phosphatase type I A
RAB27B	ENSG00000041353	0		RAB27B, member RAS oncogene family
PSMA4	ENSG00000041357	0	HC9, HsT17706	Proteasome 20S subunit alpha 4
MYO16	ENSG00000041515	0	KIAA0865, Myo16b, MYR8, NYAP3, PPP1R107	Myosin XVI
LSG1	ENSG00000041802	0	FLJ11301	Large 60S subunit nuclear export GTPase 1
PARP3	ENSG00000041880	0	ADPRT3, ADPRTL3, ARTD3, hPARP-3, IRT1, pADPRT-3	Poly(ADP-ribose) polymerase family member 3
TNC	ENSG00000041982	0	DFNA56, HXB, MGC167029, TN	Tenascin C
THAP3	ENSG00000041988	1		THAP domain containing 3
RIPOR3	ENSG00000042062	0	C20orf175, C20orf176, dJ530I15.2, dJ530I15.3, FAM65C	RIPOR family member 3
TDP1	ENSG00000042088	0	FLJ11090, SCAN1	Tyrosyl-DNA phosphodiesterase 1
AIFM2	ENSG00000042286	0	AMID, FLJ14497, PRG3	Apoptosis inducing factor mitochondria associated 2
SPATA7	ENSG00000042317	0	HSD3, LCA3	Spermatogenesis associated 7
MED17	ENSG00000042429	0	CRSP6, CRSP77, DRIP80, SRB4, TRAP80	Mediator complex subunit 17
RETSAT	ENSG00000042445	0	FLJ20296	Retinol saturase
CAPG	ENSG00000042493	0	AFCP, MCP	Capping actin protein, gelsolin like
AP2S1	ENSG00000042753	0	CLAPS2, FBH3, FBHOk, HHC3	Adaptor related protein complex 2 subunit sigma 1
USH2A	ENSG00000042781	0	RP39, USH2	Usherin
ZPBP	ENSG00000042813	0	SP38, ZPBP1	Zona pellucida binding protein
TG	ENSG00000042832	0	AITD3, TGN	Thyroglobulin
ADAM28	ENSG00000042980	0	ADAM23, eMDCII, MDC-Lm, MDC-Ls	ADAM metallopeptidase domain 28
BARX2	ENSG00000043039	1		BARX homeobox 2
DCUN1D1	ENSG00000043093	0	DCUN1L1, RP42, SCCRO, SCRO, Tes3	Defective in cullin neddylation 1 domain containing 1
